Date;Consultant_Email;Client_Account_Number;Channel;Stakeholder;Query_Category;Query_Status;Resolution_Time_Hours;SLA_Met
2025-06-15;naledi.maseko@bank.co.za;ACC26286005;Call;Other;Digital Banking;Resolved;13,1;Yes
2025-02-25;naledi.maseko@bank.co.za;ACC24929322;Call;Other;Payments;Escalated;66;No
2025-10-05;keketso.sangweni@bank.co.za;ACC51023225;Call;Client;Account Maintenance;Pending;;Open
2025-11-03;brandon.jacobs@bank.co.za;ACC55821089;Call;Client;Technical;Resolved;22,8;Yes
2025-08-29;thabo.mokoena@bank.co.za;ACC58683599;Email;Client;Onboarding;Resolved;12,5;Yes
2025-04-12;naledi.maseko@bank.co.za;ACC71610845;Email;Relationship Banker;Payments;Resolved;20;Yes
2025-11-20;amanda.dlamini@bank.co.za;ACC73768553;Email;Client;Technical;Resolved;11,9;Yes
2025-07-07;amanda.dlamini@bank.co.za;ACC82840452;Call;Client;Onboarding;Pending;;Open
2025-07-05;naledi.maseko@bank.co.za;ACC44514046;Call;Relationship Banker;Account Maintenance;Resolved;20;Yes
2025-02-02;keketso.sangweni@bank.co.za;ACC72402502;Email;Other;Technical;Resolved;16,4;Yes
2025-03-09;sibusiso.khanyile@bank.co.za;ACC13105844;Call;Relationship Banker;Payments;Resolved;22,9;Yes
2025-10-31;zanele.mabaso@bank.co.za;ACC30740193;Email;Relationship Banker;Payments;Resolved;11,1;Yes
2025-02-26;keketso.sangweni@bank.co.za;ACC99969920;Email;Relationship Banker;Onboarding;Resolved;2,1;Yes
2025-05-16;sibusiso.khanyile@bank.co.za;ACC44386089;Email;Other;Payments;Resolved;15,5;Yes
2025-02-01;amanda.dlamini@bank.co.za;ACC68119584;Call;Relationship Banker;Technical;Resolved;22,4;Yes
2025-10-27;naledi.maseko@bank.co.za;ACC17950881;Email;Relationship Banker;Technical;Resolved;5,9;Yes
2025-05-21;sibusiso.khanyile@bank.co.za;ACC26684606;Email;Relationship Banker;Technical;Resolved;5,4;Yes
2025-06-19;keketso.sangweni@bank.co.za;ACC35956615;Email;Relationship Banker;Digital Banking;Resolved;23,5;Yes
2025-11-07;keketso.sangweni@bank.co.za;ACC43256049;Email;Relationship Banker;Technical;Resolved;16,8;Yes
